"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Mullins, Cedric","656775","185","22.7",29.7,"106.4","87.3","98","90.8","88.2","420","172","376","65",35.1,"10",5.4,3.9
"Benintendi, Andrew","643217","185","15.6",35.7,"109.5","88.3","97.1","91.1","86.3","405","178","391","60",32.4,"10",5.4,4
"Bader, Harrison","664056","184","10.9",38,"111.7","87.2","98.8","92.5","83.6","431","157","405","66",35.9,"14",7.6,5.6
"Rojas, Josh","668942","183","14.6",39.3,"108.4","89.2","97.9","92.8","84.8","405","186","378","70",38.3,"11",6,4.3
"Young, Jacob","696285","183","2.9",29,"106.7","85","96.6","90.3","82.9","403","119","403","49",26.8,"4",2.2,1.6
"Rosario, Amed","642708","183","3.4",33.9,"108.9","86.6","98.9","92.2","83.6","406","134","391","69",37.7,"9",4.9,3.9
"Cruz, Oneil","665833","182","12",33,"121.5","95.2","106.2","98.5","93.2","462","169","418","97",53.3,"32",17.6,10.6
"Swanson, Dansby","621020","182","9.8",31.3,"109.3","90.1","100.6","95.1","86.6","401","148","387","81",44.5,"17",9.3,5.9
"Varsho, Daulton","662139","182","28.4",28,"108.2","84.8","97.1","91.9","80.6","408","173","389","55",30.2,"12",6.6,4.2
"Brennan, Will","686823","181","12.9",32.6,"106.1","87.5","98.2","91.3","85.1","401","167","371","66",36.5,"13",7.2,5.8
"France, Ty","664034","181","11",32.6,"110.9","88.2","99.5","94","85.3","427","157","401","70",38.7,"17",9.4,6
"O'Hoppe, Logan","681351","180","13.9",38.9,"111.5","90.7","101.3","95.7","85","467","177","408","86",47.8,"20",11.1,7.5
"Chourio, Jackson","694192","180","6.3",29.4,"108.6","88.4","99.8","91","86.8","441","137","391","77",42.8,"9",5,3.5
"Jeffers, Ryan","680777","178","16.1",31.5,"113.9","85.7","98.7","92.6","80.2","416","172","394","56",31.5,"18",10.1,6.8
"Pérez, Wenceel","672761","178","17.8",43.3,"109.1","88.6","97.3","90.5","87.7","396","181","377","57",32.4,"7",3.9,2.8
"DeJong, Paul","657557","178","20.2",38.2,"109.6","88.1","100","93.4","81.1","417","193","390","76",42.7,"18",10.1,6.3
"Langford, Wyatt","694671","177","16.6",29.4,"111.9","88.4","100.5","91.7","87.4","415","161","411","74",41.8,"14",7.9,5.7
"Burger, Jake","669394","177","10.7",26,"112.9","90.2","102.6","95.7","87.5","441","148","399","76",42.9,"18",10.2,7.1
"Crawford, J.P.","641487","177","11.3",31.1,"110.7","88","99.3","92.6","84.5","429","160","394","70",39.5,"13",7.3,4.9
"Campusano, Luis","669134","177","8.5",27.1,"110.1","87","98","89.7","86.8","429","145","385","59",33.3,"7",4,3.2
"Langeliers, Shea","669127","177","14.7",33.9,"112.3","91.2","102.3","96.5","87","454","173","407","82",46.3,"29",16.4,10.8
"Hayes, Ke'Bryan","663647","176","4.4",30.1,"110.4","88.4","100.2","92.4","86.7","404","136","388","77",43.8,"5",2.8,2
